13/17, 11/14
3 5/8, 29/8
17/24, 5/7
2 7/12, 31/12
23/31, 19/26
4 2/9, 38/9
19/28, 11/16
5 1/6, 31/6
27/35, 7/9
3 11/15, 56/15
41/52, 15/19
2 13/18, 49/18
29/39, 17/23
6 3/7, 45/7
37/48, 23/30
4 5/11, 49/11
31/42, 13/18
1 17/20, 37/20
43/56, 11/14
7 2/13, 93/13
47/63, 25/34
5 7/16, 87/16
53/71, 19/26
3 9/14, 51/14
61/78, 17/22
2 11/17, 45/17
67/84, 37/47
8 1/9, 73/9
71/92, 23/30
4 13/19, 89/19
79/105, 41/55
6 5/12, 77/12
83/108, 7/9
1 23/28, 51/28
89/116, 31/41
9 3/11, 102/11
97/126, 13/17
5 17/24, 137/24
101/132, 47/62
7 7/15, 112/15
107/139, 29/38
3 19/25, 94/25
113/147, 59/77
11 1/8, 89/8
119/154, 67/87
4 21/26, 125/26
127/165, 73/95
2 29/35, 99/35
131/170, 23/30
8 11/13, 115/13
